RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR
257,Jackson St.,SWAC,34,16,100.3,107.6,0.3081,47.7,50.6,19.5
258,Fresno St.,MWC,32,6,100.8,108.2,0.3057,46.1,54,17.7
259,Manhattan,MAAC,30,17,107.2,115.1,0.3048,50.7,50.5,17
260,Monmouth,CAA,33,13,103.8,111.7,0.3012,47.2,50.7,16.2
261,Evansville,MVC,32,11,98.1,105.6,0.2992,48.8,50.2,17.7
262,Charlotte,Amer,33,11,104.2,112.2,0.2985,48.3,54.2,15.1
263,Mount St. Mary's,MAAC,34,22,99.4,107.5,0.2903,51,48,21.7
264,UMass Lowell,AE,32,17,107,115.7,0.2901,54.6,51.6,18.1
265,North Florida,ASun,32,15,108,116.8,0.2882,53.2,54.1,15
266,FIU,CUSA,33,10,96.1,103.9,0.2879,46.1,51.6,19.5
267,Houston Christian,Slnd,32,12,100.4,108.6,0.2875,49.1,52.6,18
268,Gardner Webb,BSth,31,11,102.3,110.7,0.2867,51.9,52,20.8
269,Denver,Sum,32,11,99.9,108.4,0.2825,50.3,54.3,18.5
270,Siena,MAAC,32,14,102,110.6,0.2823,49.4,51.7,17.2
271,Eastern Michigan,MAC,32,16,104.3,113.2,0.2791,52.4,53.7,18.7
272,Colgate,Pat,33,14,104,113.1,0.277,54.2,53.3,16.7
273,Ball St.,MAC,31,14,103.4,112.5,0.2762,51.3,51.6,16.4
274,Alabama St.,SWAC,34,19,100.5,109.6,0.2698,47.1,50.3,13.2
275,Bowling Green,MAC,32,14,99.4,108.6,0.2656,49.9,52.6,17.5
276,Albany,AE,33,17,103,112.5,0.2656,49.3,54.9,15.7
277,Mercer,SC,33,14,98.2,107.4,0.2643,48.9,50.8,16.6
278,Eastern Washington,BSky,32,10,101.8,111.3,0.2635,50.9,54.4,18.7
279,Pacific,WCC,33,9,100.7,110.2,0.2616,48.1,53.2,19.3
